ID,Type,Parent
ID,TYPE,SC %
HANCESTRO:0010,class,
AfPO:0000274,class,HANCESTRO:0010
AfPO:0000188,class,HANCESTRO:0010
AfPO:0000275,class,HANCESTRO:0010
AfPO:0000276,class,HANCESTRO:0010
AfPO:0000277,class,HANCESTRO:0010
