Label	Synonym
Hawaiian in USA (SGDP)	Hawaiian
Igorot in Philippines (SGDP)	Igorot
Maori in New Zealand (SGDP)	Maori
Papuan in Papua New Guinea (SGDP)	Papuan
Balochi in Pakistan (SGDP)	Balochi
Bengali in Bangladesh (SGDP)	Bengali
Brahmin in India (SGDP)	Brahmin
Brahui in Pakistan (SGDP)	Brahui
Burusho in Pakistan (SGDP)	Burusho
Hazara in Pakistan (SGDP)	Hazara
Irula in India (SGDP)	Irula
Kalash in Pakistan (SGDP)	Kalash
Kapu in India (SGDP)	Kapu
Khonda Dora in India (SGDP)	Khonda Dora
Kusunda in Nepal (SGDP)	Kusunda
Madiga in India (SGDP)	Madiga
Makrani in Pakistan (SGDP)	Makrani
Pathan in Pakistan (SGDP)	Pathan
Punjabi in Pakistan (SGDP)	Punjabi
Relli in India (SGDP)	Relli
Sindhi in Pakistan (SGDP)	Sindhi
Yadava in India (SGDP)	Yadava
Bengali in Bangladesh	Bengali
Gujarati Indians in Houston, TX	Gujarati
Punjabi in Lahore, Pakistan	Punjabi
Sri Lankan Tamil in the UK	Tamil
Indian Telugu in the UK	Telugu
Abkhasian in Abkhazia or Russia (SGDP)	Abkhasian
Adygei in Russia(Caucasus) (SGDP)	Adygei
Albanian in Albania (SGDP)	Albanian
Armenian in Armenia (SGDP)	Armenian
Basque in France (SGDP)	Basque
Bedouin B in Israel(Negev) (SGDP)	Bedouin B
Bergamo in Italy(Bergamo) (SGDP)	Bergamo
Bulgarian in Bulgaria (SGDP)	Bulgarian
Chechen in Russia (SGDP)	Chechen
Crete in Greece (SGDP)	Crete
Czech in Czechoslovakia(pre1989) (SGDP)	Czech
Druze in Israel(Carmel) (SGDP)	Druze
English in England (SGDP)	English
Estonian in Estonia (SGDP)	Estonian
Finnish in Finland (SGDP)	Finnish
French in France (SGDP)	French
Georgian in Georgia (SGDP)	Georgian
Greek in Greece (SGDP)	Greek
Hungarian in Hungary (SGDP)	Hungarian
Icelandic in Iceland (SGDP)	Icelandic
Iranian in Iran (SGDP)	Iranian
Iraqi Jew in Iraq (SGDP)	Iraqi Jew
Jordanian in Jordan (SGDP)	Jordanian
Lezgin in Russia (SGDP)	Lezgin
North Ossetian in Russia (SGDP)	North Ossetian
Norwegian in Norway (SGDP)	Norwegian
Orcadian in Orkney Islands (SGDP)	Orcadian
Palestinian in Israel(Central) (SGDP)	Palestinian
Polish in Poland (SGDP)	Polish
Russian in Russia (SGDP)	Russian
Saami in Finland (SGDP)	Saami
Samaritan in Israel (SGDP)	Samaritan
Sardinian in Italy (SGDP)	Sardinian
Spanish in Spain (SGDP)	Spanish
Tajik in Tajikistan (SGDP)	Tajik
Turkish in Turkey (SGDP)	Turkish
Tuscan in Italy(Tuscany) (SGDP)	Tuscan
Yemenite Jew in Yemen (SGDP)	Yemenite Jew
